School,FBS Conference,Coaches Compensation ($),Recruiting ,Game Expenses and Travel,Ticket Sales,"Corporate Sponsorship, Advertising, Licensing",Student Fees ($)
University of Kansas,Big 12 Conference,17797593,1493759,9686659,20194204,11317379,22009
University of Kentucky,Southeastern Conference,31846330,2138764,17172839,38769203,5610846,0
University of Louisiana at Lafayette,Sun Belt Conference,7827429,483282,4119509,1538645,637358,570455
University of Louisiana at Monroe,Sun Belt Conference,4253870,213024,2222628,682966,516355,293734
University of Louisville,Atlantic Coast Conference,25869324,1541816,11197291,27501377,16124670,900272
University of Maryland-College Park,Big Ten Conference,20310675,1464140,8300964,14324321,9036197,9137385
University of Memphis,American Athletic Conference,13379633,614408,10599091,12659488,3352912,7112047
University of Miami,Atlantic Coast Conference,,,,,,
University of Michigan,Big Ten Conference,32047307,2604637,14992632,57105068,26491023,
University of Minnesota-Twin Cities,Big Ten Conference,24238063,2016583,13322065,21616208,12610058,
University of Mississippi,Southeastern Conference,25779768,1360493,9230145,15559428,5157905,1911778
University of Missouri-Columbia,Southeastern Conference,21991362,1463003,10068273,16124731,1107710,
University of Nebraska-Lincoln,Big Ten Conference,21576530,1931349,11368236,38069771,27620416,
University of Nevada-Las Vegas,Mountain West Conference,10017764,737802,3893704,5556235,8078841,4860058
University of Nevada-Reno,Mountain West Conference,6817848,569364,4159544,9147801,2495133,2810660
University of New Mexico,Mountain West Conference,7771219,543924,4347842,4797121,3466293,3571257
University of North Carolina at Chapel Hill,Atlantic Coast Conference,23178619,1740114,10263202,24819323,12863503,7409258
University of North Carolina at Charlotte,Conference USA,7164218,696807,4257160,1864863,1504219,21331152
University of North Texas,Conference USA,7679777,370308,4178253,1683630,2339404,13506736
University of Oklahoma,Big 12 Conference,31838431,2256268,21940964,43126229,15163596,
University of Oregon,Pacific-12 Conference,25443353,1418307,11136887,25869436,17744697,
University of Pittsburgh-Pittsburgh Campus,Atlantic Coast Conference,,,,,,
University of South Alabama,Sun Belt Conference,5539642,351163,1939482,531688,735818,8567496
